idPlayer,kmeans_cluster,archetype,hierarchical_cluster,kda_ratio,headshot_rate,win_rate,entry_aggression,support_score,objective_score
1592,2,Balanced Aggressor,1,1.1073359073359075,0.3714733542319749,0.391304347826087,0.11524163568773235,0.018025078369905953,0.05328376703841389
1593,1,Support/Utility Player,3,1.1139066788655076,0.3693101830126701,0.5689655172413793,0.0922103861517976,0.038010323791647115,0.07456724367509986
1594,1,Support/Utility Player,3,1.1401551891367603,0.33532635774788244,0.5714285714285714,0.09418767507002801,0.041355256601893375,0.07352941176470588
1595,2,Balanced Aggressor,1,1.075757575757576,0.3325330132052821,0.38636363636363635,0.08976660682226213,0.02160864345738295,0.036804308797127476
1596,3,Dominant Fragger,0,1.6825127334465195,0.4328187535734706,0.6119402985074627,0.13902147971360382,0.02572898799313894,0.08233890214797136
1597,2,Balanced Aggressor,1,1.1687331536388141,0.4677754677754678,0.43820224719101125,0.10383653044203503,0.011954261954261955,0.04462051709758132
1599,1,Support/Utility Player,1,1.205193600741943,0.4347264110297286,0.5065502183406113,0.09568574785966089,0.03899181387333046,0.07201611549437635
1600,1,Support/Utility Player,1,1.0895522388059702,0.3549768105601142,0.5374149659863946,0.09828629032258063,0.032108455226542994,0.07711693548387097
1602,1,Support/Utility Player,3,1.12577065351418,0.4393662400975015,0.5232558139534884,0.08558758314855876,0.04875076173065204,0.0909090909090909
1603,3,Dominant Fragger,0,1.307609282245008,0.43888888888888894,0.5789473684210527,0.11575063119052242,0.046803822539116656,0.07205282579141581
1604,2,Balanced Aggressor,1,1.044973544973545,0.2866141732283464,0.55,0.12043435340572556,0.003149606299212599,0.04738400789733465
1605,0,Passive/Low Impact,2,0.9214365881032548,0.24305555555555555,0.5416666666666666,0.05405405405405406,0.0125,0.0728910728910729
1606,1,Support/Utility Player,3,0.976,0.4342723004694836,0.64,0.0891812865497076,0.018779342723004695,0.10380116959064328
1607,1,Support/Utility Player,1,1.0533333333333332,0.2923926901827454,0.5230769230769231,0.11856696047767984,0.0488737781555461,0.05004264998578333
1608,1,Support/Utility Player,3,1.3065088757396448,0.34351949420442573,0.5111111111111111,0.09865092748735245,0.03477344573234984,0.0851602023608769
1610,3,Dominant Fragger,0,1.2612527541706013,0.46053006554573955,0.5432098765432098,0.10162969669533725,0.028783129096608722,0.07944771389769126
1612,2,Balanced Aggressor,0,1.0887290167865709,0.4267185473411154,0.6190476190476191,0.1320574162679426,0.006485084306095979,0.03253588516746412
1613,2,Balanced Aggressor,0,1.0854555744199208,0.4148842660416056,0.46551724137931033,0.1160904822876654,0.023439789041898623,0.061246265471617586
1614,2,Balanced Aggressor,1,1.0572450805008944,0.3870352716873212,0.5175438596491229,0.08416169648774022,0.016682554814108675,0.05864811133200795
1616,1,Support/Utility Player,3,1.1327433628318586,0.3273542600896861,0.6153846153846154,0.0588235294117647,0.004484304932735427,0.10835913312693499
1619,2,Balanced Aggressor,1,1.2581967213114755,0.3971119133574007,0.3333333333333333,0.13870967741935486,0.03610108303249098,0.06451612903225806
1620,2,Balanced Aggressor,1,1.125636393496469,0.37426132632961256,0.41946308724832215,0.1275806651007541,0.04005252790544977,0.04030164420818396
1621,2,Balanced Aggressor,3,1.1550387596899223,0.28715083798882685,0.6511627906976745,0.10601001669449081,0.03128491620111732,0.049248747913188645
1622,2,Balanced Aggressor,1,0.9834710743801651,0.40092165898617516,0.4166666666666667,0.08637873754152824,0.0,0.05647840531561462
1623,0,Passive/Low Impact,1,1.131585336246662,0.299373795761079,0.47465437788018433,0.08015267175572519,0.025289017341040464,0.046148507980569055
1625,3,Dominant Fragger,0,1.5762962962962965,0.3837209302325581,0.7560975609756098,0.09626168224299066,0.024312896405919663,0.07289719626168224
1626,1,Support/Utility Player,3,1.2779403159742537,0.29064296915839,0.48936170212765956,0.08081632653061224,0.03972817564035546,0.0689795918367347
1628,3,Dominant Fragger,0,1.486741573033708,0.40805546384945524,0.4224137931034483,0.14460217893694288,0.029052492571805873,0.07791350280620667
1630,3,Dominant Fragger,0,1.2422997946611911,0.44676806083650183,0.5833333333333334,0.12995245641838352,0.01520912547528517,0.03803486529318542
1632,2,Balanced Aggressor,1,1.1520383693045564,0.3086089494163424,0.47783251231527096,0.12102846648301194,0.017509727626459144,0.05895316804407713
1633,0,Passive/Low Impact,2,0.928525434642627,0.33191489361702126,0.4868421052631579,0.0599101347978033,0.01957446808510638,0.0763854218671992
1634,1,Support/Utility Player,3,0.9481961147086033,0.28128587830080365,0.4915254237288136,0.07127734650670431,0.04707233065442021,0.0649258997882851
1636,2,Balanced Aggressor,1,1.2717149220489978,0.30781692993114623,0.5,0.12414243711205489,0.021871202916160386,0.05847762169225744
1639,2,Balanced Aggressor,1,1.197745677391114,0.3519775837913568,0.4617117117117117,0.10705026344400768,0.024411052701103997,0.048674416659697246
1640,0,Passive/Low Impact,2,0.9724025974025973,0.21039290240811154,0.44680851063829785,0.08500590318772137,0.021546261089987327,0.09248327430145611
1642,0,Passive/Low Impact,2,0.9841082989994114,0.3031141868512111,0.5,0.05427350427350427,0.02422145328719723,0.061538461538461535
1643,2,Balanced Aggressor,1,1.1039290240811153,0.308,0.5609756097560976,0.09600760456273763,0.019133333333333332,0.05703422053231939
1645,3,Dominant Fragger,0,1.7980769230769234,0.45330739299610895,0.6666666666666666,0.19870410367170627,0.013618677042801557,0.021598272138228944
1646,0,Passive/Low Impact,1,1.0958657878969442,0.3149856824689787,0.47674418604651164,0.0738774607387746,0.016001399192115403,0.05197965051979651
1647,1,Support/Utility Player,3,1.1448275862068966,0.33333333333333337,0.36363636363636365,0.08465608465608465,0.027777777777777776,0.09523809523809523
1648,3,Dominant Fragger,0,1.6040955631399316,0.291699604743083,0.7115384615384616,0.10585585585585586,0.016600790513833993,0.05705705705705706
1649,2,Balanced Aggressor,1,1.1390887290167864,0.3477751756440281,0.5555555555555556,0.11594202898550725,0.01873536299765808,0.0784313725490196
1652,2,Balanced Aggressor,1,1.1078180889115994,0.3190249072602014,0.4020618556701031,0.09768536681051394,0.015898251192368842,0.04040800313848568
1653,1,Support/Utility Player,1,1.112211221122112,0.35175879396984927,0.5862068965517241,0.11341463414634147,0.06197654941373535,0.03658536585365854
1655,0,Passive/Low Impact,2,0.928348909657321,0.39097744360902253,0.3333333333333333,0.05152224824355973,0.018796992481203006,0.0819672131147541
1656,1,Support/Utility Player,3,0.9543985637342908,0.34222027972027974,0.5211267605633803,0.06668452062131762,0.04326923076923077,0.06882699517943225
1657,1,Support/Utility Player,3,1.1517467248908297,0.3231441048034935,0.5555555555555556,0.09738717339667459,0.026200873362445417,0.08155186064924781
1658,1,Support/Utility Player,2,1.0094339622641508,0.3324538258575198,0.5714285714285714,0.07581227436823106,0.018469656992084433,0.07220216606498195
1660,3,Dominant Fragger,0,1.4931880108991824,0.3399662731871838,0.5932203389830508,0.17751084417751087,0.007419898819561552,0.0657323990657324
1661,1,Support/Utility Player,3,0.9692307692307691,0.31626506024096385,0.6190476190476191,0.05330882352941176,0.03313253012048193,0.05882352941176471
1662,0,Passive/Low Impact,2,0.9195652173913044,0.3365906623235614,0.5,0.08058353594998263,0.015743756786102063,0.03195554011809656
1663,1,Support/Utility Player,1,1.0215589840328774,0.3780552402572834,0.517426273458445,0.08282606526294782,0.033446840711312896,0.06177028240694542
1664,3,Dominant Fragger,0,1.2642725598526705,0.48735244519392923,0.6,0.14110871130309574,0.01854974704890388,0.04319654427645788
1665,2,Balanced Aggressor,1,1.0620689655172415,0.4204545454545454,0.4666666666666667,0.07532467532467532,0.022727272727272728,0.049350649350649346
1666,0,Passive/Low Impact,2,0.8016194331983806,0.31896551724137934,0.3333333333333333,0.06430868167202572,0.04597701149425287,0.04340836012861736
